Date,Open,High,Low,Close,Volume,Adj Close,Return
2/1/1993,43.9687,45.125,42.8125,44.4062,288600,28.299536,
3/1/1993,44.5625,45.8437,44.2187,45.1875,136100,28.933456,0.022400367
4/1/1993,45.25,45.25,43.2812,44.0312,132600,28.193079,-0.025588958
5/3/1993,44.0937,45.6562,43.8437,45.2187,94300,28.953434,0.026969562
6/1/1993,45.375,45.8125,44.2187,45.0625,176100,29.057909,0.00360838
7/1/1993,45.125,45.2187,44.1562,44.8437,294900,28.916819,-0.004855477
8/2/1993,44.9062,46.5625,44.8437,46.5625,250300,30.025164,0.038328732
9/1/1993,46.4062,46.5937,44.8125,45.9375,212800,29.806709,-0.00727573
10/1/1993,45.875,47.1562,45.7187,46.8437,335800,30.394701,0.019726834
11/1/1993,46.7812,47,45.5312,46.3437,265700,30.070274,-0.010673801
12/1/1993,46.5937,47.1562,46.375,46.5937,292700,30.439442,0.012276842
1/3/1994,46.5937,48.3125,46.4062,48.2187,340500,31.501047,0.034875968
2/1/1994,48.1562,48.2812,46.5625,46.8125,595100,30.582382,-0.029162999
3/1/1994,46.8125,47.3125,43.5312,44.5937,673600,29.300905,-0.041902459
4/4/1994,43.3437,45.359299,43.3437,45.0937,626800,29.629436,0.011212316
5/2/1994,45.0937,45.9375,44.171799,45.8125,414500,30.101734,0.015940162
6/1/1994,45.703098,46.5625,44,44.4687,482900,29.411949,-0.022915125
7/1/1994,44.6875,46.046799,44.375,45.9062,295500,30.362722,0.032326079
8/1/1994,45.9375,47.984299,45.6562,47.6562,360900,31.520187,0.038121253
9/1/1994,47.5,47.7187,45.734299,46.171799,300600,30.724129,-0.025255497
10/3/1994,46.203098,47.703098,45,47.484299,260600,31.597506,0.02842642
11/1/1994,47.2812,47.328098,44.609299,45.5937,239300,30.339443,-0.039815263
12/1/1994,45.640598,46.4062,44.6875,45.5625,513200,30.560417,0.00728339
1/3/1995,45.703098,47.234299,45.6875,47.0937,137800,31.58745,0.033606642
2/1/1995,47.1562,49.1562,47,49.015598,339300,32.876537,0.0408101
3/1/1995,48.9687,50.890598,48.2187,50.109299,220800,33.792042,0.027846759
4/3/1995,50.0937,51.671799,50.0625,51.5937,238200,34.793072,0.029623247
5/1/1995,51.546799,53.640598,51.390598,53.640598,343200,36.173431,0.039673387
6/1/1995,53.4062,55.1562,52.75,54.4062,295600,36.905193,0.020229267
7/3/1995,54.4687,56.703098,54.203098,56.1562,292500,38.092266,0.032165473
8/1/1995,56.234299,56.796799,55.421799,56.4062,373500,38.261848,0.004451875
9/1/1995,56.390598,58.9062,56.3437,58.484299,401900,39.883228,0.042375894
10/2/1995,58.484299,59.1875,57.265598,58.3125,429600,39.766068,-0.002937576
11/1/1995,58.2812,61.203098,58.234299,60.9062,434600,41.534836,0.044479328
12/1/1995,60.984299,62.796799,60.578098,61.484299,507800,42.188286,0.015732577
1/2/1996,61.4062,63.6875,59.640598,63.671799,507200,43.689266,0.035578122
2/1/1996,63.609299,66.6875,63.4375,63.875,788200,43.828697,0.003191425
3/1/1996,64.640602,65.968697,62,64.6875,927600,44.583344,0.017218103
4/1/1996,65,65.8125,62.125,65.390602,723000,45.067932,0.010869261
5/1/1996,65.375,68.4375,63.078098,66.875,835300,46.090996,0.022700487
6/3/1996,66.890602,68.5,66.156197,67.109299,896600,46.497555,0.00882079
7/1/1996,67.281197,67.703102,60.375,64.093697,1344400,44.408154,-0.044935718
8/1/1996,64.156197,67.343697,64.0625,65.328102,777000,45.263428,0.019259391
9/3/1996,64.468697,69.25,64.375,68.625,889700,47.792423,0.055872812
10/1/1996,68.703102,71.625,68.4375,70.843697,674700,49.337589,0.032330773
11/1/1996,70.984299,76.6875,70.265602,76.015602,1258100,52.939453,0.073004459
12/2/1996,75.921799,76.578102,71.875,73.843697,1730000,51.6796,-0.023797998
1/2/1997,74.375,79.6875,72.75,78.406197,2128700,54.872673,0.061785946
2/3/1997,78.718697,82,77.125,79.156197,1736300,55.39756,0.009565545
3/3/1997,78.75,81.796799,75.25,75.375,2089200,52.953304,-0.044122088
4/1/1997,75.25,80.6875,73.3125,80.093697,2775000,56.268337,0.062602949
5/1/1997,80.218697,85.5625,79.3125,85.156197,1886500,59.824902,0.063207217
6/2/1997,85.343697,90.5,84.078102,88.3125,2367400,62.283886,0.041103018
7/1/1997,88.5,96.031197,88.390602,95.3125,3068100,67.220757,0.079264017
8/1/1997,95.5,96.625,89.343697,90.375,4842800,63.738503,-0.051803255
9/2/1997,90.6875,96.375,90.25,94.375,3941800,66.803719,0.048090492
10/1/1997,95.25,98.5,84.375,92.0625,6283100,65.166809,-0.024503277
11/3/1997,93.1875,96.8125,90.093697,95.625,4985300,67.688538,0.038696524
12/1/1997,96.218697,99,92.375,97.0625,3796400,68.979485,0.01907187
1/2/1998,97.3125,99.5625,90.906197,98.3125,5411500,69.867821,0.012878264
2/2/1998,99.906197,105.531197,99.718697,105.125,3851400,74.709267,0.069294361
3/2/1998,105.25,111.531197,103.156197,109.9375,4238300,78.353844,0.048783466
4/1/1998,110.3125,113.4375,107.625,111.343697,6062500,79.356064,0.012790949
5/1/1998,111.75,113.3125,107.578102,109.031197,6051800,77.707916,-0.020769024
6/1/1998,108.968697,114.6875,107.5,113.3125,6649000,81.016243,0.042573874
7/1/1998,114.0625,119.234299,111.3125,111.781197,7407300,79.921387,-0.013514031
8/3/1998,111.781197,112.421799,95,96,13862100,68.638138,-0.141179344
9/1/1998,96.0625,107,93.625,101.75,13203700,73.006226,0.063639372
10/1/1998,100.031197,110.906197,92.218697,110,11773800,78.925652,0.081081112
11/2/1998,110.8125,119.718697,110.1875,116.125,7253700,83.320374,0.055681795
12/1/1998,116.125,124.75,113.75,123.3125,7400700,88.771385,0.065422306
1/4/1999,123.375,128.5,120.375,127.656197,7782900,91.898369,0.035225135
2/1/1999,128.6875,128.843704,121.328102,123.5625,9170800,88.951355,-0.032068186
3/1/1999,123.656197,132.625,121.781197,128.375,6765400,92.639984,0.041467935
4/1/1999,129.6875,137.5,128.125,133.25,7987900,96.157959,0.037974694
5/3/1999,133.4375,138,128,130.203094,9565700,93.959198,-0.022866136
6/1/1999,130.125,137.5,128.015594,137,8070300,99.162544,0.055378783
7/1/1999,137,142.25,132.5625,132.75,5793400,96.086334,-0.031021895
8/2/1999,132.75,138.781204,127,132.0625,7017200,95.588715,-0.005178874
9/1/1999,132.9375,136.625,125.5625,128.75,8355700,93.453545,-0.022337051
10/1/1999,127.9375,137.6875,123.4375,137,9896000,99.441833,0.064077698
11/1/1999,136.5,143,134.593704,139.281204,6320200,101.097649,0.016651101
12/1/1999,139.3125,147.5625,139,146.875,5668200,106.871307,0.057109716
1/3/2000,148.25,148.25,135,139.5625,8376900,101.550484,-0.049787199
2/1/2000,139.75,144.5625,132.718704,137.4375,9759000,100.004257,-0.01522619
3/1/2000,137.625,155.75,135.031204,150.375,11167100,109.696121,0.096914514
4/3/2000,150.125,153.109299,133.5,145.093704,12525700,105.843506,-0.035120795
5/1/2000,146.5625,148.484299,136.5,142.8125,7594500,104.179405,-0.015722278
6/1/2000,143.6875,149.156204,143,145.281204,6116600,106.229797,0.019681356
7/3/2000,145.4375,151.984299,141.515594,143,5602200,104.561775,-0.015702016
8/1/2000,143.625,153.093704,142.625,152.343704,4662100,111.393906,0.065340618
9/1/2000,153.25,153.593704,142.125,143.625,6126800,105.282616,-0.054861978
10/2/2000,144.281204,145.75,130.156204,142.953094,8461100,104.790085,-0.00467818
11/1/2000,142.25,144.296799,129.75,132.281204,7995300,96.967178,-0.074653122
12/1/2000,133.1875,139.5625,125.531197,131.1875,8709500,96.460419,-0.005226088
1/2/2001,132,138.699997,127.5625,137.020004,9095300,100.748978,0.044459262
2/1/2001,137.100006,137.990005,121.800003,123.949997,10180600,91.138779,-0.095387558
3/1/2001,124.050003,127.75,108.040001,116.690002,14880400,86.031624,-0.056037123
4/2/2001,116.300003,127.269997,109.300003,126.660004,13130300,93.382164,0.085439977
5/1/2001,125.07,132.089996,123.440002,125.949997,9905100,92.858704,-0.005605567
6/1/2001,126.199997,129.229996,120.400002,122.599998,10162000,90.645943,-0.023829333
7/2/2001,122.800003,124.32,116.75,121.349998,9943300,89.721733,-0.010195823
8/1/2001,121.970001,123.25,112.040001,114.150002,12416700,84.398323,-0.059332447
9/4/2001,113.849998,116.169998,93.800003,104.440002,29389500,77.50885,-0.081630449
10/1/2001,103.900002,111.790001,102.830002,105.800003,23510200,78.518158,0.013021842
11/1/2001,106.599998,116.900002,105.699997,114.050003,18390200,84.640793,0.077977313
